Election ,JURISDICTION,City/District #,Position_Type,Number_of_Muslims,Impact,Vote_Difference,Name_1,Votes_1,Name_2,Votes_2
General_2019,City Council,MOUNT VERNON,Ward 2 Pos. 1,37,< 25%,4617,Mark Hulst,4617,Write-In,0
General_2019,City Council,MOUNT VERNON,Ward 3 Pos. 1,37,< 25%,4614,Mary Hudson,4614,Write-In,0
General_2019,City Council,MOUNTLAKE TERRACE,Pos. 2,231,< 25%,3871,Steven P. Woodard,3955,Write-In,84
General_2019,City Council,MOUNTLAKE TERRACE,Pos. 5,231,< 25%,3811,Bryan Wahl,3894,Write-In,83
General_2019,City Council,MOUNTLAKE TERRACE,Pos. 6,231,< 25%,3810,Laura Sonmore,3893,Write-In,83
General_2019,City Council,MOUNTLAKE TERRACE,Pos. 7,231,< 25%,1671,Erin Murray,3244,Crystal Gamon,1573
General_2019,City Council,MOXEE,Pos. 3,7,< 25%,63,David S. Mullen,252,Maravell A. Gonsioroski,189
General_2019,City Council,MOXEE,Pos. 4,7,< 25%,389,David Roy,402,Write-In,13
General_2019,City Council,MOXEE,Pos. 5,7,< 25%,372,Larry Frank,390,Write-In,18
General_2019,City Council,MUKILTEO,Pos. 6,239,< 25%,2269,Elisabeth L. Crawford,4687,Peter Zieve,2418
General_2019,City Council,MUKILTEO,Pos. 7,239,< 25%,2084,Joe Marine,4516,Kristina O. Melnichenko,2432
General_2019,City Council,MUKILTEO,Pos. 5,239,> 50%,218,Riaz Khan,3501,Christopher Maddux,3283
General_2019,City Council,MUKILTEO,Pos. 4,239,25-50%,866,Richard C. Emery,3769,Scott Whelpley,2903
General_2019,City Council,NACHES,Pos. 4,1,< 25%,139,Robert Weekes,145,Write-In,6
General_2019,City Council,NACHES,Pos. 5,1,< 25%,146,Suzi Williams,146,Write-In,0
General_2019,City Council,NAPAVINE,Pos. 1,0,< 25%,272,Donald Webster,278,Write-In,6
General_2019,City Council,NAPAVINE,Pos. 2,0,< 25%,282,Larry Stafford,286,Write-In,4
General_2019,City Council,NAPAVINE,Pos. 3,0,< 25%,251,LaVerne Haslett,261,Write-In,10
General_2019,City Council,NAPAVINE,Pos. 5,0,< 25%,249,Jim Haslett,263,Write-In,14
General_2019,City Council,NESPELEM,Pos. 1,0,< 25%,20,Dawn Ensminger,23,Write-In,3
General_2019,City Council,NESPELEM,Pos. 2,0,< 25%,25,Sally A Hutton,25,Write-In,0
General_2019,City Council,NESPELEM,Pos. 5,0,< 25%,22,Jama Van Brunt,23,Write-In,1
General_2019,City Council,NEWCASTLE,Pos. 1,117,< 25%,2196,Linda Newing,2260,Write-In,64
General_2019,City Council,NEWCASTLE,Pos. 2,117,< 25%,2264,Ariana Sherlock,2294,Write-In,30
General_2019,City Council,NEWCASTLE,Pos. 3,117,< 25%,801,Tom Griffin,1928,Allen Dauterman,1127
General_2019,City Council,NEWCASTLE,Pos. 4,117,< 25%,2487,Tony Ventrella,2517,Write-In,30
General_2019,City Council,NEWPORT,Pos. 1,1,< 25%,339,Kenneth H Smith,349,Write-In,10
General_2019,City Council,NEWPORT,Pos. 3,1,< 25%,49,Christian J. Meador,214,Troy Falardeau,165
General_2019,City Council,NEWPORT,Pos. 4,1,< 25%,351,MARK ZORICA,362,Write-In,11
General_2019,City Council,NEWPORT,Pos. 5,1,< 25%,374,Keith W. Campbell,380,Write-In,6
General_2019,City Council,NOOKSACK,Pos. 1,0,< 25%,318,Steve C. Neyens,322,Write-In,4
General_2019,City Council,NOOKSACK,Pos. 2,0,< 25%,284,Randy Relethford,288,Write-In,4
General_2019,City Council,NOOKSACK,Pos. 4,0,< 25%,282,Scott Bodven,290,Write-In,8
General_2019,City Council,NOOKSACK,Pos. 5,0,< 25%,298,Marshall Judy,302,Write-In,4
General_2019,City Council,NORMANDY PARK,Pos. 1,16,< 25%,1713,Earnest Thompson,2125,Dave Emert,412
General_2019,City Council,NORMANDY PARK,Pos. 3,16,< 25%,662,Shawn McEvoy,1685,Jonathan Chicquette,1023
General_2019,City Council,NORMANDY PARK,Pos. 5,16,< 25%,228,Michelle Sipes-Marvin,1433,Kathleen Sherry,1205
General_2019,City Council,NORMANDY PARK,Pos. 7,16,< 25%,642,Sue-Ann Hohimer,1666,Kathleen Waters,1024
General_2019,City Council,NORTH BEND,Pos. 1,31,< 25%,1336,Jonathan Rosen,1380,Write-In,44
General_2019,City Council,NORTH BEND,Pos. 5,31,< 25%,1429,Brenden Elwood,1470,Write-In,41
General_2019,City Council,NORTH BEND,Pos. 6,31,< 25%,1396,Chris Garcia,1441,Write-In,45
General_2019,City Council,NORTH BEND,Pos. 7,31,< 25%,559,Mary Miller,1335,Darren Glazier,776
General_2019,City Council,NORTH BEND,Pos. 3,31,25-50%,74,Heather Koellen,1060,Olivia G. Moe,986
General_2019,City Council,NORTH BONNEVILLE,Pos. 3,2,< 25%,189,Margie Lee,198,Write-In,9
General_2019,City Council,NORTH BONNEVILLE,Pos. 4,2,< 25%,165,John H. Acton,182,Write-In,17
General_2019,City Council,NORTH BONNEVILLE,Pos. 5,2,< 25%,124,Judie Whitcomb,182,Mike Riley,58
General_2019,City Council,NORTHPORT,Pos. 1,0,< 25%,74,Kathleen (Kathy) Thomas,74,Write-In,0
General_2019,City Council,NORTHPORT,Pos. 2,0,< 25%,73,Donna Godes,73,Write-In,0
General_2019,City Council,NORTHPORT,Pos. 4,0,< 25%,71,Seth Straayer,71,Write-In,0
General_2019,City Council,NORTHPORT,Pos. 5,0,< 25%,68,Greg Rieckers,69,Write-In,1
General_2019,City Council,OAK HARBOR,Pos. 1,22,< 25%,379,Tara Hizon,2162,Michael Crawford,1783
General_2019,City Council,OAK HARBOR,Pos. 2,22,< 25%,2985,Beth Munns,3095,Write-In,110
General_2019,City Council,OAK HARBOR,Pos. 3,22,< 25%,200,Jeffrey Mack,1964,Joseph Busig,1764
General_2019,City Council,OAKESDALE,Pos. 1,0,< 25%,128,Al Evans,131,Write-In,3
General_2019,City Council,OAKESDALE,Pos. 2,0,< 25%,133,Dolores R. Haley,134,Write-In,1
General_2019,City Council,OAKESDALE,Pos. 3,0,< 25%,139,Thomas J. Crooks,139,Write-In,0
General_2019,City Council,OAKVILLE,Pos. 1,0,< 25%,95,Thomas Sims,103,Write-In,8
General_2019,City Council,OAKVILLE,Pos. 2,0,< 25%,107,Traci D. Fallow,110,Write-In,3
General_2019,City Council,OAKVILLE,Pos. 3,0,< 25%,103,Dan Martin,105,Write-In,2
General_2019,City Council,OAKVILLE,Pos. 4,0,< 25%,2,Julie Zehe,62,Allen Werth,60
General_2019,City Council,OCEAN SHORES,Pos. 2,2,< 25%,475,Kathryn L. Sprigg,1632,Michael Darling,1157
General_2019,City Council,OCEAN SHORES,Pos. 3,2,< 25%,218,Frank Elduen,1491,Richard Wills,1273
General_2019,City Council,OCEAN SHORES,Pos. 4,2,< 25%,53,Jon Martin,1422,Lorraine Hardin,1369
General_2019,City Council,OCEAN SHORES,Pos. 6,2,< 25%,499,Bob Peterson,1618,Chuck Anderson,1119
General_2019,City Council,OCEAN SHORES,Pos. 7,2,< 25%,148,Eric Noble,1434,David Linn,1286
General_2019,City Council,ODESSA,Pos. 1,0,< 25%,26,Victoria S. Iverson,181,Tami Smith,155
